character,dialog
Harry Potter,I think it was my mother... the night she was murdered.
Harry Potter,The most haunted building in Britain. Yeah I know. What's going on?
Harry Potter,"Excuse me, sir. Where's Professor Lupin?"
Harry Potter,"Sir, it's Quidditch tomorrow."
Harry Potter,Probably a right sight better than he normally does.
Harry Potter,"Oh, brilliant."
Harry Potter,What happened?
Harry Potter,Really? I meant the match. Who won?
Harry Potter,"No. Professor, why do the dementors affect me so? I mean, more than everyone else?"
Harry Potter,"I'm scared, professor."
Harry Potter,I need to know how to fight them. You could teach me. You made that dementor on the train go away.
Harry Potter,But you made it go away.
Harry Potter,"Guys, let me go."
Harry Potter,I'm trying to get to Hogsmeade.
Harry Potter,"Let me go! Come on, guys. Don't..."
Harry Potter,What are you doing?!
Harry Potter,What's this rubbish?
Harry Potter,"Mr's. Moony, Wormtail, Padfoot and Prongs... are proud to present the Marauder's Map."
Harry Potter,Hang on. This is Hogwarts. And that... No. Is that really...?
Harry Potter,So you mean this map shows...
Harry Potter,Everyone?
Harry Potter,Brilliant! Where did you get it?
Harry Potter,"He was their friend... and he betrayed them. He was their friend! I hope he finds me. Because when he does, I'm gonna be ready! When he does, I'm gonna kill him!"
Harry Potter,I'm sure.
Harry Potter,Expecto Patronum.
Harry Potter,Expecto Patronum! Expecto... Expecto... Expect...
Harry Potter,That's one nasty dementor.
Harry Potter,The first time I rode a broom.
Harry Potter,"There's another. It's not... happy, exactly. Well, it is. It's the happiest I've ever felt... but it's complicated."
Harry Potter,Just do it. Expecto Patronum! Expecto Patronum!
Harry Potter,I think I've had enough for today.
Harry Potter,I was thinking of him. And Mom. Seeing their faces. They were talking to me. Just talking. That's the memory I chose. I don't even know if it's real. But it's the best I have.
Harry Potter,Ripped to pieces? What are you talking about?
Harry Potter,They're not sacking you!
Harry Potter,You tell those spiders Ron.
Harry Potter,Sorry.
Harry Potter,Mischief managed. Nox.
Harry Potter,I was sleepwalking.
Harry Potter,"My dad didn't strut. And nor do I. Now, if you don't mind, I would appreciate it if you could lower your wand."
Harry Potter,Spare bit of parchment.
Harry Potter,"Mr's. Moony, Wormtail, Padfoot, and Prongs... offer their compliments to Professor Snape and..."
Harry Potter,And request that he keep his abnormally large nose out of other people's business.
Harry Potter,"No. No, sir."
Harry Potter,"Yes, sir."
Harry Potter,"Professor, just so you know, I don't think that map always works. Earlier, it showed someone in the castle. Someone I know to be dead."
Harry Potter,Peter Pettigrew.
Harry Potter,"It's just what I saw. Good night, professor."
Harry Potter,Hang on. We better take this back.
Harry Potter,Fine. See you later.
Harry Potter,Professor Trelawney...
Harry Potter,Sorry?
Harry Potter,No. Nothing.
Harry Potter,Why don't we just set him free?
Harry Potter,Ow! Hagrid!
Harry Potter,Hagrid. It'll be fine. It'll be okay.
Harry Potter,What?
Harry Potter,Wait!
Harry Potter,"That's not good. Ron, run!"
Harry Potter,Ron! Ron! Ron! Ron! Come on! Move!
Harry Potter,Don't worry.
Harry Potter,I have a hunch. I just hope I'm wrong.
Harry Potter,Come on. Ron.
Harry Potter,Then it'll be you!
Harry Potter,I know why. You betrayed my parents. You're the reason they're dead!
Harry Potter,"Who was it, then?"
Harry Potter,Expelliarmus!
Harry Potter,Tell me about Peter.
Harry Potter,No. Pettigrew's dead. You killed him!
Harry Potter,"The map was lying, then."
Harry Potter,All they could find of Pettigrew was his...
Harry Potter,"Show me. Give it to him, Ron."
Harry Potter,No!
Harry Potter,I know what he is. But we'll take him to the castle.
Harry Potter,"Get off! I said we'd take you to the castle. After that, the dementors can have you."
Harry Potter,Okay.
Harry Potter,"No. Don't worry, okay? It's fine. I'll stay."
Harry Potter,You okay?
Harry Potter,"Well I just didn't think my dad would have wanted his two best friends... to become killers. Besides, dead, the truth dies with him. Alive, you're free."
Harry Potter,I know.
Harry Potter,What? Come and live with you?
Harry Potter,Expelliarmus!
Harry Potter,Come on.
Harry Potter,Sirius!
Harry Potter,Sirius! No. Sirius! Expecto Patronum!
Harry Potter,I saw my dad.
Harry Potter,He sent the dementors away. I saw him across the lake.
Harry Potter,You mean they're gonna kill him?
Harry Potter,It's true. Sirius is innocent.
Harry Potter,What just happened? Where's Ron?
Harry Potter,I don't know. Going to Hagrid's?
Harry Potter,"Hermione! Hermione! Hermione, wait. Hermione, will you please tell me what it is we're doing?"
Harry Potter,That's us.
Harry Potter,This is not normal.
Harry Potter,You mean we've gone back in time?
Harry Potter,Good punch.
Harry Potter,Come on. We should be at Hagrid's.
Harry Potter,Look. Buckbeak's still alive.
Harry Potter,Here they come. I'd better hurry.
Harry Potter,That's Pettigrew.
Harry Potter,He betrayed my parents. You don't expect me to sit here.
Harry Potter,Are you mad?
Harry Potter,Ow!
Harry Potter,Ow! That hurt!
Harry Potter,What?
Harry Potter,Get away. Get off.
Harry Potter,This way.
Harry Potter,"Come on. This way. This way, now. Now what?"
Harry Potter,How?
Harry Potter,And now we wait.
Harry Potter,Yeah. Hermione?
Harry Potter,"Before, down by the lake, when I was with Sirius... I did see someone. That someone made the dementors go away."
Harry Potter,It was my dad. My dad conjured the Patronus.
Harry Potter,You see Sirius talking to me there? He's asking me to come live with him.
Harry Potter,"When we free him, I'll never have to go back to the Dursleys'. It'll just be me and him. We could live in the country... someplace you can see the sky. I think he'll like that after all those years in Azkaban."
Harry Potter,Let's go! What are you doing?
Harry Potter,Thanks. Great! Now he's coming for us.
Harry Potter,Poor Professor Lupin's having a really tough night. Sirius! Come on!
Harry Potter,Don't worry. My dad will come. He'll conjure the Patronus. Any minute now! Right there! You'll see!
Harry Potter,"Don't worry, he will! He will come! Sirius."
Harry Potter,Expecto Patronum!
Harry Potter,"You were right, Hermione. It wasn't my dad I saw earlier. It was me! I saw myself conjuring the Patronus before. I knew I could do it this time because... well, I had already done it. Does that make sense?"
Harry Potter,I want to go with you.
Harry Potter,But you're innocent.
Harry Potter,My mother's eyes.
Harry Potter,He's free. We did it.
Harry Potter,"I don't know. Honestly, Ron. How can somebody be in two places at once?"
Harry Potter,You've been sacked.
Harry Potter,Resigned? Why?
Harry Potter,But Dumbledore...
Harry Potter,None of it made any difference. Pettigrew escaped.
Harry Potter,What are you talking about?
Harry Potter,For me? But who sent it?
Harry Potter,Hermione. Bad dream. When did you get here?
Harry Potter,Last night.
Harry Potter,Where are we actually going?
Harry Potter,Yes sir. This way.
Harry Potter,Pleasure to meet you too sir.
Harry Potter,Why are they all standing around that manky old boot?
Harry Potter,What's a 'portkey'?
Harry Potter,Thanks.
Harry Potter,See ya later Cedric.
Harry Potter,I love magic.
Harry Potter,When we're apart my heart beats only for youuu!
Harry Potter,What is that?
Harry Potter,Crime?
Harry Potter,What crime?
Harry Potter,"Those people tonight, in the masks... they're his too aren't they? they're his followers."
Harry Potter,There was a man. Before. There.
Harry Potter,I dunno. I didn't see his face.
Harry Potter,It's alright I'll get it.
Harry Potter,Oh no thank you I'm not hungry.
Harry Potter,I'm fine.
Harry Potter,Well there's something you don't see every day.
Harry Potter,I don't know but I don't think it's Pumpkin Juice.
Harry Potter,Yeah well rather you than me.
Harry Potter,No sir.
Harry Potter,No sir.
Harry Potter,Yes sir.
Harry Potter,Let you know what?
Harry Potter,I didn't ask for this to happen Ron. Okay? You're being stupid.
Harry Potter,"I didn't put my name in that cup. I don't want eternal glory I just wanna be.. Look, I don't know what happened tonight and I don't know why, it just did ok."
Harry Potter,It's a broomcupboard.
Harry Potter,"Oh, no."
Harry Potter,I'm fourteen.
Harry Potter,I dunno I haven't really thought about it.
Harry Potter,Fourteen.
Harry Potter,No I didn't enter.
Harry Potter,"Hey, my eyes aren't glistening with the ghosts of my past."
Harry Potter,Sirius?
Harry Potter,Sirius?! How...
Harry Potter,No!
Harry Potter,I dunno.
Harry Potter,No. Umm.. Voldemort was giving him a job to do. Something important.
Harry Potter,"He wanted... me. I dunno why, but he was gonna use this man to get to me. I mean it was only a dream right?"
Harry Potter,What are you saying?
Harry Potter,Do you think one of them put my name in the goblet?
Harry Potter,I'm not ready for this Sirius.
Harry Potter,Someone's coming!
Harry Potter,Who says I was talking to anyone.
Harry Potter,"Maybe you're imagining things, wouldn't be the first time."
Harry Potter,Neville! You're doing it again!
Harry Potter,Magical water plants of the highland Lochs?
Harry Potter,Is that right? Well.... what?
Harry Potter,Well you can tell Ronald...
Harry Potter,Yeah I brought the cloak. Hagrid where are we going?
Harry Potter,What's with the flower? Hagrid have you combed your hair?
Harry Potter,Dragons? That's the first task? You're joking.
Harry Potter,Ron was here?
Harry Potter,No he didn't. He didn't tell me a thing.
Harry Potter,Thanks.
Harry Potter,Excuse me..
Harry Potter,Can I have a word?
Harry Potter,Dragons. That's the first task. They've got one for each of us.
Harry Potter,Yes.
Harry Potter,Don't worry about it.
Harry Potter,You're a right foul git you know that?
Harry Potter,I know so.
Harry Potter,Yeah. Stay away from me.
Harry Potter,"I don't give a damn what you or your father thinks Malfoy. He's vile and cruel, and you're just pathetic."
Harry Potter,Oh... um... You know I just thought I'd...
Harry Potter,Um... I dunno.. I can fly. I mean I'm a fair flyer.
Harry Potter,But I'm not allowed a broom.
Harry Potter,Yeah.
Harry Potter,Battle a dragon.
Harry Potter,The horntail...
Harry Potter,Nothing.
Harry Potter,Who wants me to open it? You want me to open it?
Harry Potter,What the bloody hell was that?
Harry Potter,Caught on have you. Took you long enough.
Harry Potter,Brilliant. That makes me feel loads better.
Harry Potter,Hagrid warned me about the dragons.
Harry Potter,Who could possibly figure that out? That's completely mental.
Harry Potter,Well it does match your eyes. Is there a bonnet?
Harry Potter,Oi! Never gonna let him forget this are you?
Harry Potter,Why do they always have to travel in packs? How are you supposed to get one alone to ask them...
Harry Potter,I think I'd take the dragon right now.
Harry Potter,But then again he can take himself.
Harry Potter,Agreed.
Harry Potter,Cho!
Harry Potter,Ok thanks. Cho?
Harry Potter,Um.  I just wondered if maybe you wanted to go to the ball with me?
Harry Potter,Um. I was just wondering if maybe you wanted to go to the ball with me.
Harry Potter,Ok. Great. Fine. No problem. Good.
Harry Potter,What happened to you?
Harry Potter,What did she say?
Harry Potter,Don't be silly.
Harry Potter,What did you do then?
Harry Potter,Hey!
Harry Potter,My dress robes.
Harry Potter,Well I expect yours are more traditional.
Harry Potter,Leave it alone.
Harry Potter,Who?
Harry Potter,Because we'd take the mickey out of her if she did.
Harry Potter,Ready professor?
Harry Potter,No.
Harry Potter,Yeah she does.
Harry Potter,What?
Harry Potter,Really? I had no idea. I suppose Viktor's already figured it out.
Harry Potter,What's that supposed to mean?
Harry Potter,Cedric.
Harry Potter,Spectacular.
Harry Potter,Forget about it. I'm sure you would have done the same for me.
Harry Potter,I must be out of my mind.
Harry Potter,Myrtle!
Harry Potter,"Polyjuice potion! Kicked the habit. Myrtle, did you say try putting it in the water?"
Harry Potter,"Myrtle, there aren't Merpeople in the black lake are there?"
Harry Potter,Come seek us where our voices sound.
Harry Potter,An hour long you'll have to look.
Harry Potter,Potentially problematic? When was the last time you held your breath under the water for an hour Hermione?
Harry Potter,"Neville. No offense, but I really don't care about plants. Now if there's a Tibetan turnip that will allow me to breathe underwater for an hour then great."
Harry Potter,You're sure about this Neville.
Harry Potter,For an hour.
Harry Potter,Most likely?
Harry Potter,You're telling me this now? You must be joking.
Harry Potter,Well that makes you sight better than Ron and Hermione. Where are they anyway?
Harry Potter,Do I?
Harry Potter,But she's my friend too!
Harry Potter,Hermione
Harry Potter,I finished last Hermione.
Harry Potter,Mr Crouch?
Harry Potter,I can come back later Professor.
Harry Potter,Agh!
Harry Potter,Professor?
Harry Potter,"Sir, Mr Crouch's son, what happened to him?"
Harry Potter,"It's just that I had a dream about him. It was in the summer, before school. In the dream I was in a house and Voldemort was there only he wasn't quite human, and Wormtail was there too and Mr Crouch's son."
Harry Potter,"Yes. Always the same one. Sir... these dreams, what I see, you don't think it's actually happening do you?"
Harry Potter,Yes sir.
Harry Potter,Bubble juice sir?
Harry Potter,I haven't stolen anything.
Harry Potter,Fleur? Fleur!
Harry Potter,No stop! He's bewitched Cedric.
Harry Potter,He's bewitched!
Harry Potter,For a moment so did I.
Harry Potter,Some game.
Harry Potter,"Together, on three. One, two, three!"
Harry Potter,"Yeah, you?"
Harry Potter,I've been here before.
Harry Potter,"I've been here before in a dream. Cedric, we have to get back to the cup? Now!"
Harry Potter,Get back to the cup!
Harry Potter,Cedric!
Harry Potter,Don't touch him.
Harry Potter,Have it your way.
Harry Potter,"He's back, he's back! Voldemort's back. Cedric, he asked me to bring his body back. I couldn't leave him, not there."
Harry Potter,Not so much now.
Harry Potter,The cup was a portkey. Someone had bewitched it.
Harry Potter,Who?
Harry Potter,I dunno. It was like I'd fallen into one of my dreams. One of my nightmares.
Harry Potter,Um. I don't think I said anything about a graveyard Professor.
Harry Potter,It was you from the beginning. You put my name in the goblet of fire. You bewitched Krum. But...
Harry Potter,"That's Moody, but then who's...?"
Harry Potter,"Professor, when I was in the graveyard there was a moment... um... when Voldemort's wand and mine sort of connected."
Harry Potter,No I don't think so.
Harry Potter,Yes.
Harry Potter,"Big D? Cool name, but to me, you'll always be Ikkle Duddicums."
Harry Potter,What?
Harry Potter,"Shut up, Dudley. I'm warning you..."
Harry Potter,Because if you don't I'll turn you into the idiot pig you are!
Harry Potter,"Not so brave now, are you Duddykins? Now tell your little friends to go away."
Harry Potter,Don't you ever speak about that again. You understand?
Harry Potter,"I said, DO YOU UNDERSTAND? !"
Harry Potter,Quiet!
Harry Potter,Dudley! Run!
Harry Potter,"Come on! They break into a run. A dementor drifts into the alleyway in front of them. Skidding to a stop, Harry turns around, to find the other dementor cutting off the way back."
Harry Potter,"Dudley, no!"
Harry Potter,Lumos!
Harry Potter,"""Expecto Patronum!'"
Harry Potter,"""Expecto Patronum! '"
Harry Potter,Dementors.
Harry Potter,No.
Harry Potter,We were attacked.
Harry Potter,"They're evil. If they get the chance, they'll suck your soul out through your mouth."
Harry Potter,You can't give a Dementor the 'ol one-two.'
Harry Potter,Because I used magic to save his
Harry Potter,Lumos!
Harry Potter,What are you doing here?
Harry Potter,How'd he know? It just happened!
Harry Potter,What's been going on? What's Lord Vol-
Harry Potter,How are we getting there?
Harry Potter,"Uh, is that very likely?"
Harry Potter,Expecto--!
Harry Potter,No!
Harry Potter,But I can help!
Harry Potter,Was that your--?
Harry Potter,But...why here?
Harry Potter,Mrs. Weasley!
Harry Potter,Right.
Harry Potter,"So, why's he keeping me in the dark?"
Harry Potter,Didn't you bother asking?
Harry Potter,So I get to spend the summer with the Dursleys while you two are here.
Harry Potter,You've still been here!
Harry Potter,What's been going on?
Harry Potter,What's this Order everyone's talking about?
Harry Potter,Why?
Harry Potter,Okay.
Harry Potter,I'm not really hungry. I think I'll go to bed.
Harry Potter,"I wanted to, but I didn't think you'd tell me anything."
Harry Potter,Where's Voldemort? What's he doing?
Harry Potter,How?
Harry Potter,And what's his plan?
Harry Potter,And you're stopping him from gaining followers?
Harry Potter,But...why?
Harry Potter,"But you're telling people, right?"
Harry Potter,What?
Harry Potter,What kind of weapon?
Harry Potter,"No, my scar kept hurting."
Harry Potter,Yeah...nerves...
Harry Potter,"Thanks, Hermione."
Harry Potter,Bye.
Harry Potter,Department of Mysteries?
Harry Potter,I've been there before...
Harry Potter,Er...sorry.
Harry Potter,Yes.
Harry Potter,"Yes, but-"
Harry Potter,"Yes, but-"
Harry Potter,Yes.
Harry Potter,But I did it because of the Dementors!
Harry Potter,"My cousin and I were attacked by Dementors. That's why I had to use the Patronus, to drive them away."
Harry Potter,"I think so, yeah."
Harry Potter,Er...is Percy mad at you?
Harry Potter,What are you doing here?
Harry Potter,"If he wanted to talk to the Minister, why down here?"
Harry Potter,Yeah...just...my scar...the pain is getting stronger.
Harry Potter,My parents.
Harry Potter,"I miss them, Sirius..."
Harry Potter,"Why'd they have to die, Sirius, why?"
Harry Potter,Thanks.
Harry Potter,Who..who was that?
Harry Potter,I'm sure. Nothing.
Harry Potter,"So...congratulations Ron, Hermione..."
Harry Potter,"Yes, do go enjoy yourselves."
Harry Potter,What is that?
Harry Potter,"Yes it is, it's right there!"
Harry Potter,Er...you are?
Harry Potter,"Well, thanks Luna."
Harry Potter,Hagrid's cabin looks deserted.
Harry Potter,"Yeah, could be."
Harry Potter,What?
Harry Potter,Why?
Harry Potter,What did I do?
Harry Potter,Where'd she get that from?
Harry Potter,"No one believes me, Hedwig. No one..."
Harry Potter,I'm alone...
Harry Potter,"Sorry, Professor..."
Harry Potter,What good's theory in the real world?
Harry Potter,What about Lord Voldemort?
Harry Potter,It-is-NOT-a-LIE!
Harry Potter,"So, according to you, Cedric Diggory dropped dead? Or are you calling me a murderer?"
Harry Potter,It was MURDER! I saw it happen!
Harry Potter,"Yeah, talk to somebody who cares."
Harry Potter,Yeah. But she called me a liar!
Harry Potter,"Yes, Professor."
Harry Potter,Oh! Sorry...
Harry Potter,"I'll never get out of it, Angelina."
Harry Potter,"Later, I've got detention."
Harry Potter,Thanks.
Harry Potter,There's no ink.
Harry Potter,"No, I haven't."
Harry Potter,She is. But the quill has some sort of spell on it. It uses blood for ink.
Harry Potter,"No, I'm telling anyone."
Harry Potter,No!
Harry Potter,I don't need his help. I don't need anyone's help.
Harry Potter,I've asked Sirius about it.
Harry Potter,"Don't worry, Hermione, I wrote it in code. Anyway, I figured I need to tell someone about Umbridge. My scar hurt again last night in detention."
Harry Potter,"Well, it's a possibility, isn't it?"
Harry Potter,"Yeah, but Dumbledore didn't have a choice, did he? She'd been sent here by the Ministry."
Harry Potter,Er...
Harry Potter,"Where are we going, Hermione?"
Harry Potter,"Hermione, what's going on?"
Harry Potter,You mean about us teaching ourselves?
Harry Potter,"Hey, Neville."
Harry Potter,"Uh...same to you, Luna."
Harry Potter,That's the first time you've said his name.
Harry Potter,"It's okay, Hermione."
Harry Potter,I believe Voldemort's back because I fought him last year. Dumbledore's already told the school that. If you didn't believe him you won't believe anyone.
Harry Potter,Me?
Harry Potter,"Uh...well, yeah, I did."
Harry Potter,That might work. I'll look into that.
Harry Potter,Yeah.
Harry Potter,What's she done now?
Harry Potter,"""By order of the Hogwarts High Inquisitor: All student organizations, societies, teams, groups, and clubs are henceforth disbanded. Permission to reform must be approved by High Inquisitor Umbridge. No student organization can exist without the knowledge and approval of the High Inquisitor. Any student found to be a part of an illegal organization will be expelled immediately."""
Harry Potter,"Not only that, but what about the"
Harry Potter,This isn't a coincidence.
Harry Potter,She knows.
Harry Potter,"Look, we don't know how many people could have overheard our meeting and told her."
Harry Potter,"What would we do without you, Hermione?"
Harry Potter,Hedwig!
Harry Potter,It's Hedwig. I think she's been attacked.
Harry Potter,London.
Harry Potter,"Yes, Professor."
Harry Potter,Dobby! What are you doing here?
Harry Potter,"What is it, Dobby."
Harry Potter,"Don't worry about it, Dobby. But I don't think you can help me."
Harry Potter,"Actually, there is something you can do, Dobby."
Harry Potter,I need a room where twenty-eight people can practice Defense Against the Dark Arts without the teachers knowing. Especially Professor Umbridge.
Harry Potter,"That's brilliant, Dobby!"
Harry Potter,"Better not, Dobby. School is pretty intense right now. We'll do it ina few months, before the holidays."
Harry Potter,"Just ignore them, Ron!"
Harry Potter,Malfoy provoked us.
Harry Potter,Ban us...for life.
Harry Potter,You've--!
Harry Potter,You can't!
Harry Potter,"If you quit, we'll be out four players!"
Harry Potter,"Hagrid, what happened to you?"
Harry Potter,"We know you were looking for giants, Hagrid. Dumbledore said so last year."
Harry Potter,So what did you do when you found them?
Harry Potter,Glad to see all of you could find this place all right.
Harry Potter,Loads of Defense Against the Dark Arts equipment. Hopefully we'll be able to get to all of it before the end of term.
Harry Potter,"Besides, it works. I used it against You-Know-Who last June. It saved my life."
Harry Potter,"Right. Well, let's split into pairs and give it a go."
Harry Potter,"Well done, Neville!"
Harry Potter,"Look here, you lot! Neville's really got the hang of this one."
Harry Potter,"Never forget this spell, Neville. It could save your live some day."
Harry Potter,"Okay, everyone. We've done a lot today, and I've seen some great improvement. That's it for now. We'll meet back here, same time next week!"
Harry Potter,Mr. Weasley's been attacked!
Harry Potter,"No, I saw it happen! I...I was there..."
Harry Potter,Oh. Uh...I was the snake. I saw it from the snake's perspective.
Harry Potter,Yes!
Harry Potter,"What's that, Professor?"
Harry Potter,Voldemort can read minds?
Harry Potter,So he could read our minds right now?
Harry Potter,"But hasn't it helped so far? I mean, it saved Mr. Weasley's life, didn't it?"
Harry Potter,What are you going to do?
Harry Potter,No!
Harry Potter,I've been there before...
Harry Potter,I've just realized...
Harry Potter,"What's in the Department of Mysteries, sir?"
Harry Potter,"That corridor, I've been dreaming about it for months...it leads to the Department of Mysteries, I'm sure of it."
Harry Potter,It's got to be.
Harry Potter,"Probably. Mr. Weasley was probably there when he was attacked, too. That must be what the Order's guarding!"
Harry Potter,They're all Death Eaters!
Harry Potter,Voldemort.
Harry Potter,"Professor, no!"
Harry Potter,"I'm so sorry, Professor!"
Harry Potter,Are you sure you can't? Hagrid said it was important.
Harry Potter,"Could you tell us what it is, Hagrid, please?"
Harry Potter,Yeah.
Harry Potter,No!
Harry Potter,I--sorry!
Harry Potter,"No, of course not!"
Harry Potter,"No--no, I've done all I can."
Harry Potter,Voldemort! He's got Sirius! In the Department of Mysteries!
Harry Potter,I just saw it.
Harry Potter,How're we going to get there?
Harry Potter,We've got to do something!
Harry Potter,I won't let Sirius die!
Harry Potter,Voldemort's broken into the Department of Mysteries. He's got Sirius there!
Harry Potter,"There isn't anyone else, Hermione! Everyone from the Order is gone!"
Harry Potter,"No, there isn't!"
Harry Potter,How?
Harry Potter,That's all we'll need.
Harry Potter,Grimmauld Place!
Harry Potter,Sirius! Lupin? Hello?
Harry Potter,"Kreacher, where's Sirius?"
Harry Potter,"You know where he is, don't you?"
Harry Potter,It's none of your business.
Harry Potter,He's got Padfoot at the place it's hidden!
Harry Potter,You sent the Dementors?
Harry Potter,"Hermione, no!"
Harry Potter,I would rather die!
Harry Potter,"Great plan, Hermione."
Harry Potter,We've got no brooms.
Harry Potter,What are those?
Harry Potter,"All right, then. Get on one, and we'll be off."
Harry Potter,"All right, come on."
Harry Potter,Where is everyone?
Harry Potter,That's how Voldemort got in unnoticed.
Harry Potter,This is it. Come on.
Harry Potter,Stay close.
Harry Potter,"I don't understand. In my dream,"
Harry Potter,Yeah. I'll know the way when I see it.
Harry Potter,Who's there?
Harry Potter,Sirius?
Harry Potter,Does anyone else hear that?
Harry Potter,Sirius...yeah...
Harry Potter,Alohomora!
Harry Potter,"Whatever's in there, the Ministry sure doesn't want anyone getting to it."
Harry Potter,This is it! Come on!
Harry Potter,This is it. This is where Sirius is!
Harry Potter,He's in here somewhere.
Harry Potter,What's my name doing here?
Harry Potter,Why not?
Harry Potter,It's got my name on it!
Harry Potter,Where's Sirius?
Harry Potter,What prophesy?
Harry Potter,Go ahead.
Harry Potter,Come and find out!
Harry Potter,You even try to take her and I'll smash this thing.
Harry Potter,"So, what kind of prophesy are we talking about here?"
Harry Potter,Not really. How come Voldemort wants it?
Harry Potter,"Hey, did you know Voldemort's a half-blood too?"
Harry Potter,What's so special about this
Harry Potter,What?
Harry Potter,"So he used me to do his dirty work, did he?"
Harry Potter,Now!
Harry Potter,Where'd the rest go?
Harry Potter,Stupify!
Harry Potter,Stupify!
Harry Potter,Ron!
Harry Potter,Pretificus Totalus!
Harry Potter,Hermione!
Harry Potter,"Please don't be dead, please don't be dead... He shakes her."
Harry Potter,Can we carry her?
Harry Potter,I don't know...
Harry Potter,What happened.
Harry Potter,"We need to get out of here. Luna, can you help Ginny?"
Harry Potter,Let my friends go and I will.
Harry Potter,"Stop, Neville!"
Harry Potter,Are you all right?
Harry Potter,You come with us!
Harry Potter,Protego!
Harry Potter,No...no...no....
Harry Potter,I'LL KILL you!!
Harry Potter,Stupify!
Harry Potter,Crucio!
Harry Potter,Can't. It got smashed by accident!
Harry Potter,"How's Voldemort going to like that? You've failed him, and he's not very forgiving, is he?"
Harry Potter,"He can't hear you from here, you know!"
Harry Potter,Look out!
Harry Potter,Professor!
Harry Potter,No you don't!
Harry Potter,You don't have a clue! You can't possibly know!
Harry Potter,I don't care! I don't care!
Harry Potter,Let me out.
Harry Potter,You can't keep me in here!
Harry Potter,I already know all this.
Harry Potter,"Well, yeah, I did..."
Harry Potter,But Snape stopped giving me lessons.
Harry Potter,"He barely taught me, though. I always felt more open to it after the lessons. Like he was trying to open me to Voldemort—-"
Harry Potter,Sirius didn't trust him. Didn't believe he'd really turned to our side...
Harry Potter,"I've been dreaming about that all year, before Voldemort discovered the connection."
Harry Potter,But I checked Grimmauld Place! Kreacher said--
Harry Potter,Why?
Harry Potter,What?
Harry Potter,"Wait, where was Sirius when I tried to contact him?"
Harry Potter,And Hermione said we should be nice to Kreacher!
Harry Potter,Sirius hated him.
Harry Potter,"Yeah, he really hated that place. And you kept him locked up in there!"
Harry Potter,She never loved me.
Harry Potter,I asked you why Voldemort tried to kill me.
Harry Potter,"I don't understand, Professor."
Harry Potter,"Professor, why am I so important to"
Harry Potter,"Sir, it got smashed."
Harry Potter,"I'm not sure I understand all that, sir..."
Harry Potter,And...it means me?
Harry Potter,"So it's not necessarily me, sir?"
Harry Potter,What if he chose wrong?
Harry Potter,Why didn't he wait? Why attack when we were babies?
Harry Potter,But I don't have any special powers.
Harry Potter,"What is it, sir?"
Harry Potter,One of us has to kill the other...in the end.
Harry Potter,"Hey, Nick."
Harry Potter,Oh. Thanks.
Harry Potter,"Nick, I was wondering about something?"
Harry Potter,Expecting what?
Harry Potter,I expect so...
Harry Potter,Why?
Harry Potter,How are you?
Harry Potter,Better.
Harry Potter,I've got something to tell you. Something important.
Harry Potter,But not right now. I'm not ready.
Harry Potter,Do you need any help looking?
Harry Potter,Yeah.
Harry Potter,I'm sorry.
Harry Potter,Isn't it?
Harry Potter,I've been thinking about something Dumbledore said to me.
Harry Potter,That even though we've got a fight ahead of us we've got one thing that Voldemort doesn't have.
Harry Potter,Something worth fighting for
Harry Potter,Oh.  Um.  No one.  Bit of a tosser.
Harry Potter,Really.
Harry Potter,Hey.  I was wondering...
Harry Potter,I like riding round on the trains. It takes my mind off... things.
Harry Potter,"I just Apparated, didn't I?"
Harry Potter,Can't imagine why...
Harry Potter,"After all these years, I just sort of roll with it, sir."
Harry Potter,"My mother's eyes, yeah."
Harry Potter,One of my best friends is Muggle- born.  She's the best in our year.
Harry Potter,"Sir, exactly what was that all --"
Harry Potter,"It's alright, sir.  I'll go back tomorrow, make some excuse --"
Harry Potter,"But, sir.  What about Hedwig?  And there's my trunk --"
Harry Potter,Sir?
Harry Potter,Really.
Harry Potter,Didn't know. Dumbledore.
Harry Potter,When'd you get here?
Harry Potter,Oh come on...
Harry Potter,But we're talking about Hogwarts. Dumbledore. What could be safer?
Harry Potter,Rubbish.  He's only -- what?
Harry Potter,Amazing.
Harry Potter,Peruvian Instant Darkness Powder?
Harry Potter,Reckon he's right...
Harry Potter,Good.  Bad.  Speaking of which...
Harry Potter,Dunno.  Let's get closer.
Harry Potter,I don't know.  I'm turned around.
Harry Potter,What just happened?
Harry Potter,"Don't you see, it was a ceremony. An initiation."
Harry Potter,It's happened.  He's one of them.
Harry Potter,So what's he doing in Borgin and Burke's?  Browsing for furniture?
Harry Potter,"Look.  His father's a Death Eater. It only makes sense.  Besides, Hermione saw it.  With her own eyes."
Harry Potter,I need some air.
Harry Potter,Luna.  How'd you...?
Harry Potter,"Sorry I made you miss the carriages, Luna."
Harry Potter,"I am your friend, Luna."
Harry Potter,"Professor Flitwick, you've known me for five years."
Harry Potter,Have you ever fixed one?  A nose.
Harry Potter,What the hell.  Give it a go.
Harry Potter,Well?  How do I look?
Harry Potter,Brilliant.
Harry Potter,Later.  What've I missed?
Harry Potter,Thanks...
Harry Potter,This can't be good.
Harry Potter,"Well, you see, I've got an open period this morning, Professor --"
Harry Potter,It is.  Or was.  But I was told I had to get an Outstanding in my
